model_name,family,run_name,raw_epoch,epoch,train_loss,val_loss,precision,recall,map50,map50_95,f1,time_seconds,dataset_resolution,input_resolution,training_seconds,best_weights,class_ap_biodegradable,class_ap_cardboard,class_ap_glass,class_ap_metal,class_ap_paper,class_ap_plastic
YOLO11-M,yolo,yolo11m_data640_img640,12,12,3.56392,3.36516,0.5979,0.49012,0.54894,0.38107,0.53867162000649,4732.4,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,13,13,3.4443400000000004,3.30614,0.61629,0.49482,0.56066,0.39633,0.5489152609547668,5122.52,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,14,14,3.32695,3.26793,0.60269,0.50559,0.55938,0.39433,0.5498863772687859,5513.18,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,15,15,3.22829,3.2559899999999997,0.60756,0.50811,0.5637,0.39685,0.5534025502159657,5903.29,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,16,16,3.14743,3.20983,0.61152,0.52088,0.57174,0.40596,0.5625724789821948,6293.46,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,17,17,3.08338,3.2019900000000003,0.63,0.51194,0.58138,0.4101,0.5648671558921091,6683.76,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,18,18,3.02259,3.18185,0.62676,0.5174,0.5803,0.41229,0.5668536288626007,7076.88,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,19,19,2.98673,3.15869,0.60797,0.53565,0.58434,0.41503,0.5695233215573622,7467.94,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
YOLO11-M,yolo,yolo11m_data640_img640,20,20,2.9571699999999996,3.15051,0.61608,0.53387,0.5868,0.41743,0.5720364008864975,7864.78,640,640,7927.699025136011,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11m_data640_img640_best.pt,,,,,,
RF-DETR-S,rfdetr,rfdetr_small_data640_img512,0,1,5.893513202667236,5.298896789550781,0.6491881608963013,0.5171561241149902,0.5973552465438843,0.4239780902862549,0.5647615790367126,,640,512,17042.248981022043,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/rfdetr_small_data640_img512_best.pth,0.4030576944351196,0.5447900295257568,0.6576618552207947,0.5344752669334412,0.0701778531074523,0.333705872297287
RF-DETR-S,rfdetr,rfdetr_small_data640_img512,1,2,5.084769248962402,5.320562839508057,0.632967472076416,0.557612419128418,0.6073845624923706,0.4268838763236999,0.5881865620613098,,640,512,17042.248981022043,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/rfdetr_small_data640_img512_best.pth,0.380339503288269,0.5406158566474915,0.6668067574501038,0.5379272103309631,0.0717674195766449,0.3638465106487274
RF-DETR-S,rfdetr,rfdetr_small_data640_img512,2,3,4.787501335144043,5.172216892242432,0.625160276889801,0.5992410182952881,0.6308851838111877,0.4338451623916626,0.6117693781852722,,640,512,17042.248981022043,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/rfdetr_small_data640_img512_best.pth,0.3773432672023773,0.5436863899230957,0.6686621308326721,0.5354881286621094,0.0733752697706222,0.4045157134532928
RF-DETR-S,rfdetr,rfdetr_small_data640_img512,3,4,4.641928195953369,4.882136344909668,0.697648286819458,0.5607663989067078,0.6341408491134644,0.461359828710556,0.6191964149475098,,640,512,17042.248981022043,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/rfdetr_small_data640_img512_best.pth,0.4369188249111175,0.5817937254905701,0.6990997195243835,0.580428421497345,0.0745036453008651,0.3954147100448608
